Modelo,Accuracy Entrenamiento,ROC AUC Entrenamiento,Accuracy Test,ROC AUC Test
BERT sin ingeniería,0.977645305514158,0.84375,0.9444444444444444,0.6190476190476191
BERT con ingeniería,1.0,1.0,0.9722222222222222,0.8095238095238095
FastText sin ingeniería,0.9985096870342772,0.9895833333333333,0.9930555555555556,0.9523809523809523
FastText con ingeniería,0.992548435171386,0.9479166666666667,0.9930555555555556,0.9523809523809523
